,J1,J2,J3,J4,J5,J6,J7,J8,Reservoir
0,16.955591,18.92362,19.923956,21.913897,22.913853,23.913797,24.91537,26.912617,0.0
3600,16.984367,18.96156,19.961796,21.954618,22.954588,23.95455,24.95567,26.953707,0.0
7200,16.984367,18.96156,19.961796,21.954618,22.954588,23.95455,24.95567,26.953707,0.0
10800,16.984367,18.96156,19.961796,21.954618,22.954588,23.95455,24.95567,26.953707,0.0
14400,16.955591,18.92362,19.923956,21.913897,22.913853,23.913797,24.91537,26.912617,0.0
18000,16.88494,18.830473,19.831041,21.813902,22.813831,23.813736,24.816418,26.811726,0.0
21600,16.69353,18.578121,19.579327,21.543007,22.542862,23.542654,24.548338,26.538393,0.0
25200,16.573765,18.420223,19.421824,21.37351,22.373314,23.373035,24.380598,26.367374,0.0
28800,16.63561,18.501762,19.503159,21.461037,22.460867,23.460627,24.467215,26.455687,0.0
32400,16.747475,18.649242,19.65027,21.619356,22.619232,23.619053,24.623892,26.61543,0.0
36000,16.797396,18.715061,19.715921,21.690012,22.689905,23.689758,24.693813,26.68672,0.0
39600,16.843239,18.7755,19.776207,21.754892,22.754803,23.754683,24.758018,26.752186,0.0
43200,16.843239,18.7755,19.776207,21.754892,22.754803,23.754683,24.758018,26.752186,0.0
46800,16.797396,18.715061,19.715921,21.690012,22.689905,23.689758,24.693813,26.68672,0.0
50400,16.747475,18.649242,19.65027,21.619356,22.619232,23.619053,24.623892,26.61543,0.0
54000,16.69353,18.578121,19.579327,21.543007,22.542862,23.542654,24.548338,26.538393,0.0
57600,16.63561,18.501762,19.503159,21.461037,22.460867,23.460627,24.467215,26.455687,0.0
61200,16.508038,18.333574,19.335392,21.280489,22.28027,23.279953,24.288544,26.273518,0.0
64800,16.573765,18.420223,19.421824,21.37351,22.373314,23.373035,24.380598,26.367374,0.0
68400,16.69353,18.578121,19.579327,21.543007,22.542862,23.542654,24.548338,26.538393,0.0
72000,16.797396,18.715061,19.715921,21.690012,22.689905,23.689758,24.693813,26.68672,0.0
75600,16.843239,18.7755,19.776207,21.754892,22.754803,23.754683,24.758018,26.752186,0.0
79200,16.88494,18.830473,19.831041,21.813902,22.813831,23.813736,24.816418,26.811726,0.0
82800,16.922417,18.879885,19.880327,21.866945,22.866892,23.866817,24.868908,26.865244,0.0
86400,16.955591,18.92362,19.923956,21.913897,22.913853,23.913797,24.91537,26.912617,0.0
